Жорето|23.465|2|1379707725
Пари|22.45|0|1379707745
Пари|22.45|0|1379707942
Кво рече ?|8.65|1|1379709821
Примерен Продукт|22.405|1|1379711684
Кольо|1.0E-5|0|1379711699
asd-asd-33|33|2|1379713349
1-1-1-1-1-asd|123|0|1379713350
кашони|0.5|3|1379714071
!asd `1212 ss|1|0|1379715674
111111|2|0|1379715750
&lt;script&gt;alert(\'I do not escape scripts!\');&lt;/script&gt;|20|0|1379716926
Водка \&quot;Менте\&quot;|1|2|1379716975
123|123|0|1379717272
test|2|0|1379720017
!asd `1212 ss|3|0|1379721134
кебапчета|3|0|1379739959
